Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
2559,"Merilytics, Hyderabad",Hyderabad,IT,Unavailable,Unavailable,Unavailable,No
514,"MiQ Digital India Pvt. Ltd., Bangalore",Bangalore,IT,Unavailable,Unavailable,Unavailable,No
4891,Mobileum,Bangalore,IT,A7,30000,0,No
4872,Molde Analytics India Pvt. Ltd.,Hyderabad,IT,A7,35000,0,No
518,Morgan Stanley Advantage Services,Mumbai,IT,"A3 , A7 , A8 , AA , B3 , B4 , B5 , AnyA3 , AnyA7 , AnyA8 , AnyAA , AnyB3 , AnyB4 , AnyB5",80000,0,No
539,NetApp,Bangalore,IT,A7,35000,0,No
4089,Nobroker,Bangalore,IT,-,40000,0,No
548,"Nucleus Software Export Ltd, Noida",Noida,IT,Unavailable,Unavailable,Unavailable,No
1472,Nvidia Graphics -Software,Bangalore,IT,"A3 , A7 , A8 , AA",35000,35000,No
3367,OfBusiness,Gurgaon,IT,"A3 , A7 , A8 , AA , AnyA3 , AnyA7 , AnyA8 , AnyAA",30000,0,No
559,Oracle India Pvt Ltd.,Bangalore,IT,"A7 , C6",50000,0,No
557,Oracle India Pvt Ltd.,Hyderabad,IT,"A7 , C6",50000,0,No
4889,Perfios Software Solutions Pvt. Ltd. ,Bangalore,IT,A7,15000,0,No
2864,Petasense - Services & App Development,Bangalore,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA , H103 , H112 , H140 , AnyA3 , AnyA4 , AnyA7 , AnyA8",42000,42000,No
3911,Petasense Technologies Pvt. Ltd,Hyderabad,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA",42000,0,No
4825,Pixxel (Syzygy Space Technologies Pvt. Ltd.) Tech,Bangalore,IT,A7,50000,0,No
4824,Pixxel (Syzygy Space Technologies Pvt. Ltd.),Bangalore,IT,"A3 , A4 , A7 , A8",30000,0,No
4815,Praktice.ai,Bangalore,IT,"A1 , A2 , A3 , A4 , A7 , AA",10000,0,No
4816,"Psi Phi Global Solutions Pvt. Ltd., (OkCredit)",Bangalore,IT,"A7 , AA",50000,0,No
722,Qubole,Bangalore,IT,A7,90000,0,No
581,Reflexis Systems India Pvt Ltd.,Pune,IT,AnyA8,30000,30000,No
4218,Rupifi Tech,Bangalore,IT,Any,30000,0,No
592,SAP Labs,Bangalore,IT,-,50000,0,No
4901,Saras Analytics - Tech,Hyderabad,IT,A7,35000,0,No
